track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,stream_percentage,spotify_percentage,more_than_10M_streams,three_or_more_artist,Summer,top10_more_in_spotify_than_apple
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,2023-04-07,5.100940988481144,97.25036179450073,True,False,False,False
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,2014-01-01,36.60900343852451,98.67103900586814,True,False,False,True
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,2014-01-01,21.22581283467535,98.81373043917213,True,False,False,True
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,2023-05-19,4.766697556832573,97.33333333333334,True,False,False,False
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,2023-02-10,9.570881488744893,98.57549857549857,True,False,False,False
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,2018-10-09,75.8146895065095,98.47952260279573,True,False,False,True
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,2022-08-26,29.953147884447873,97.721756830815,True,False,True,True
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,2017-07-21,28.270274132500976,99.4281045751634,True,True,True,True
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,2023-06-23,1.759126478970014,93.16096747289407,True,True,True,True
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,2020-11-27,15.403110579584414,98.10881582775677,True,False,False,True
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,2022-05-13,29.311991789970453,97.2209409594096,True,False,False,True
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,2016-11-24,44.49344185174939,97.3343786750294,True,False,False,True
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,2016-11-24,44.49344185174939,97.3343786750294,True,False,False,True
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,2016-09-21,69.26572275249069,99.05758459938961,True,False,False,True
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,2023-02-24,14.00539425755882,97.5107296137339,True,False,False,True
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,2023-06-02,2.909203631506544,96.72131147540983,True,True,False,True
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,2023-04-06,4.79875003068189,96.7209407507915,True,True,False,True
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,2023-02-24,4.14083034037913,98.7794245858762,True,False,False,False
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,2023-06-15,1.5625831413603377,100.0,True,False,False,False
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,2012-10-15,48.966658875715225,98.65742978357768,True,False,False,True
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,2019-11-29,100.0,98.49229319512688,True,False,False,True
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,2023-02-24,6.9246935962203775,97.53313696612665,True,False,False,True
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,2022-05-26,32.77855699861546,97.99798358058476,True,False,False,True
S91,Karol G,1,2023,7,14,525,41,16011326.0,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,2023-07-14,0.4322834659219615,93.91771019677996,True,False,True,False
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,2020-07-24,21.923395257605506,98.67978577655997,True,False,True,True
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,2023-05-04,3.022430759063128,96.43799472295514,True,False,False,True
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,2023-02-03,4.220924752902436,97.11502435369052,True,False,False,True
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,2022-06-24,19.450719461714428,98.79173290937997,True,True,False,False
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,2023-03-24,9.663495343388878,98.01692865779927,True,False,False,True
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,2022-10-06,18.199022826854517,98.65957446808511,True,False,False,True
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,1999-01-01,47.38834081237799,99.37884261900236,True,False,False,True
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,2022-10-21,10.92263219981269,99.0402075226978,True,False,False,True
People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,2022-12-02,10.075878245572568,97.09221822209915,True,False,False,True
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,2023-07-14,0.3990508560502489,91.92825112107623,True,False,True,False
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,2023-07-07,1.0685555937538418,82.22222222222221,True,False,True,True
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,2023-06-23,1.4651090518445935,95.98470363288719,True,False,True,True
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,2020-06-28,69.06177715335572,98.31654236992455,True,False,False,True
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,2022-07-15,20.279584383280508,98.47194935603581,True,False,True,True
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,2012-05-14,61.63164558910504,98.99873333735448,True,False,False,True
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,2022-07-06,36.62536507911887,98.90697674418605,True,False,True,True
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,2008-01-01,43.0063421661604,99.31733614602561,True,False,False,True
Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,2022-07-17,17.155238804154095,97.18562874251498,True,False,True,True
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,2022-09-22,33.22653221574494,97.54322111010009,True,False,False,True
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,2022-12-20,15.81295788078256,98.71759890859482,True,False,False,True
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,2023-06-22,1.1840947468481122,96.8586387434555,True,False,True,False
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,1975-01-01,54.242753449014145,99.04528530057601,True,False,False,True
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,2022-04-22,16.225536522852373,97.89473684210527,True,False,False,True
